"source_file","format","dimensions","file_size_bytes","transparency","pages_used","display_dimensions","fold_context","decorative_or_meaningful","loading","candidate_output_formats","responsive_variants_required","referenced"
"assets/hero/clinic/hero 5.png","png","1672x941","1736461","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/photos/portrait73.png","png","1122x1402","1735875","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait76.png","png","1122x1402","1729389","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/cta-concepts/illuminated-blush-metal.png","png","1672x941","1725138","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/treatments/Treatments30.png","png","1672x941","1724605","false","pt/results.html | pt/thank-you.html | results.html | thank-you.html","1672x941","below fold | above fold candidate","meaningful","lazy | eager","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/clinic/hero 12.png","png","1672x941","1722523","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/photos/portrait46.png","png","1122x1402","1722193","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait53.png","png","1122x1402","1721733","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/clinic/hero 6.png","png","1672x941","1719283","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/photos/portrait60.png","png","1122x1402","1718272","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/hero-final/hero 1.png","png","1672x941","1716177","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/portraits/portrait40.png","png","1122x1402","1713695","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait77.png","png","1122x1402","1711840","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/hero-final/hero 8.png","png","1672x941","1709755","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/clinic/hero 3.png","png","1672x941","1709235","false","mission.html | pt/mission.html | pt/testimonials.html | testimonials.html","1672x941","above fold candidate | below fold","meaningful","eager | lazy","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/photos/portrait52.png","png","1122x1402","1708433","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/hero-final/hero 19.png","png","1672x941","1703971","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/cta-concepts/carrara-peony-frame.png","png","1672x941","1703019","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/photos/portrait49.png","png","1122x1402","1698988","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/portraits/portrait41.png","png","1122x1402","1698936","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait48.png","png","1122x1402","1697182","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait61.png","png","1122x1402","1695667","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/hero-final/hero 23.png","png","1672x941","1693196","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/photos/portrait81.png","png","1122x1402","1692186","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/hero-final/hero 6.png","png","1672x941","1691753","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/hero/hero-final/hero 20.png","png","1672x941","1684737","false","css/site.css","CSS-dependent","CSS-dependent","decorative unless surrounding content establishes meaning","CSS resource discovery","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","true"
"assets/portraits/portrait36.png","png","1122x1402","1683547","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait54.png","png","1122x1402","1679179","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait44.png","png","1122x1402","1677348","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait78.png","png","1122x1402","1676351","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/hero/clinic/hero 19.png","png","1672x941","1673433","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1280 | 1600 | 1672","false"
"assets/photos/portrait57.png","png","1122x1402","1669237","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
"assets/photos/portrait42.png","png","1122x1402","1668816","false","","","","","","AVIF | WebP | retain source fallback where needed","320 | 480 | 640 | 768 | 960 | 1122","false"
